freq,age,sex,unit,geo\TIME_PERIOD	2020-W01 	2020-W02 	2020-W03 	2020-W04 	2020-W05 	2020-W06 	2020-W07 	2020-W08 	2020-W09 	2020-W10 	2020-W11 	2020-W12 	2020-W13 	2020-W14 	2020-W15 	2020-W16 	2020-W17 	2020-W18 	2020-W19 	2020-W20 	2020-W21 	2020-W22 	2020-W23 	2020-W24 	2020-W25 	2020-W26 	2020-W27 	2020-W28 	2020-W29 	2020-W30 	2020-W31 	2020-W32 	2020-W33 	2020-W34 	2020-W35 	2020-W36 	2020-W37 	2020-W38 	2020-W39 	2020-W40 	2020-W41 	2020-W42 	2020-W43 	2020-W44 	2020-W45 	2020-W46 	2020-W47 	2020-W48 	2020-W49 	2020-W50 	2020-W51 	2020-W52 
W,TOTAL,T,NR,ES11	678 p	740 p	729 p	762 p	770 p	705 p	708 p	626 p	614 p	642 p	645 p	675 p	700 p	850 p	772 p	651 p	586 p	591 p	566 p	512 p	532 p	561 p	483 p	473 p	477 p	503 p	541 p	597 p	590 p	558 p	569 p	600 p	602 p	600 p	523 p	549 p	617 p	595 p	555 p	644 p	573 p	600 p	691 p	652 p	686 p	671 p	634 p	623 p	692 p	725 p	595 p	640 p
W,TOTAL,T,NR,ES12	285 p	297 p	348 p	316 p	321 p	280 p	271 p	262 p	230 p	277 p	249 p	292 p	352 p	314 p	359 p	296 p	308 p	271 p	250 p	250 p	232 p	249 p	252 p	216 p	246 p	249 p	222 p	213 p	230 p	244 p	258 p	274 p	285 p	262 p	262 p	252 p	230 p	271 p	232 p	221 p	254 p	268 p	339 p	334 p	422 p	448 p	415 p	421 p	392 p	368 p	334 p	295 p
W,TOTAL,T,NR,ES13	124 p	161 p	145 p	138 p	126 p	139 p	111 p	126 p	125 p	125 p	127 p	125 p	135 p	193 p	177 p	167 p	139 p	124 p	105 p	103 p	91 p	115 p	92 p	90 p	101 p	103 p	101 p	109 p	122 p	122 p	119 p	106 p	133 p	106 p	115 p	109 p	90 p	119 p	117 p	103 p	113 p	110 p	108 p	115 p	134 p	129 p	112 p	122 p	136 p	152 p	143 p	127 p
W,TOTAL,T,NR,ES21	430 p	477 p	491 p	482 p	512 p	450 p	459 p	421 p	411 p	436 p	492 p	568 p	762 p	849 p	779 p	633 p	485 p	415 p	416 p	384 p	385 p	391 p	379 p	314 p	345 p	376 p	357 p	337 p	362 p	401 p	405 p	407 p	422 p	419 p	416 p	386 p	403 p	481 p	414 p	441 p	423 p	420 p	437 p	474 p	516 p	501 p	487 p	496 p	504 p	528 p	494 p	446 p
W,TOTAL,T,NR,ES22	131 p	113 p	135 p	144 p	132 p	116 p	114 p	110 p	143 p	123 p	117 p	146 p	289 p	316 p	250 p	191 p	135 p	113 p	103 p	93 p	94 p	99 p	99 p	82 p	88 p	107 p	104 p	101 p	91 p	93 p	105 p	100 p	114 p	121 p	93 p	105 p	101 p	125 p	118 p	111 p	151 p	119 p	135 p	142 p	147 p	127 p	156 p	114 p	130 p	118 p	156 p	102 p
W,TOTAL,T,NR,ES23	77 p	57 p	61 p	74 p	82 p	68 p	52 p	60 p	60 p	74 p	69 p	92 p	132 p	165 p	143 p	103 p	86 p	54 p	72 p	51 p	65 p	59 p	63 p	49 p	51 p	63 p	57 p	43 p	63 p	50 p	56 p	49 p	63 p	52 p	68 p	76 p	81 p	92 p	52 p	63 p	66 p	75 p	87 p	98 p	84 p	75 p	74 p	65 p	72 p	68 p	63 p	67 p
W,TOTAL,T,NR,ES24	275 p	333 p	320 p	321 p	338 p	299 p	282 p	236 p	282 p	246 p	273 p	296 p	465 p	598 p	517 p	431 p	317 p	306 p	292 p	247 p	203 p	240 p	220 p	214 p	224 p	252 p	277 p	236 p	269 p	260 p	326 p	345 p	345 p	347 p	293 p	306 p	294 p	319 p	321 p	283 p	298 p	317 p	375 p	353 p	509 p	455 p	405 p	398 p	339 p	361 p	322 p	292 p
W,TOTAL,T,NR,ES3	944 p	1025 p	1056 p	1067 p	1043 p	990 p	945 p	936 p	896 p	971 p	1497 p	3057 p	5315 p	5268 p	3747 p	2392 p	1608 p	1155 p	1048 p	953 p	889 p	852 p	773 p	758 p	764 p	864 p	888 p	842 p	785 p	867 p	1017 p	883 p	740 p	819 p	863 p	880 p	989 p	1057 p	1133 p	1128 p	1109 p	1082 p	1109 p	1069 p	1039 p	1000 p	976 p	931 p	922 p	921 p	973 p	940 p
W,TOTAL,T,NR,ES41	566 p	598 p	666 p	674 p	673 p	562 p	587 p	565 p	572 p	552 p	617 p	936 p	1593 p	1778 p	1499 p	1104 p	868 p	671 p	644 p	509 p	544 p	561 p	552 p	481 p	518 p	554 p	620 p	578 p	578 p	592 p	566 p	615 p	598 p	506 p	578 p	528 p	576 p	555 p	603 p	599 p	675 p	673 p	751 p	728 p	841 p	841 p	788 p	790 p	775 p	700 p	693 p	638 p
W,TOTAL,T,NR,ES42	389 p	397 p	425 p	481 p	474 p	439 p	412 p	377 p	354 p	392 p	476 p	857 p	1800 p	1827 p	1240 p	836 p	595 p	460 p	417 p	345 p	383 p	366 p	321 p	301 p	322 p	365 p	405 p	406 p	356 p	396 p	467 p	452 p	363 p	319 p	351 p	348 p	383 p	393 p	414 p	388 p	437 p	415 p	468 p	494 p	482 p	441 p	451 p	428 p	420 p	459 p	406 p	402 p
