,ccaa,sex,date,age_group,pop,year,week
0,ES11,F,2002-01-01,Y10-14,59681,2002,1
1,ES11,F,2002-01-01,Y15-19,76255,2002,1
2,ES11,F,2002-01-01,Y20-24,101663,2002,1
3,ES11,F,2002-01-01,Y25-29,106824,2002,1
4,ES11,F,2002-01-01,Y30-34,101917,2002,1
5,ES11,F,2002-01-01,Y35-39,98519,2002,1
6,ES11,F,2002-01-01,Y40-44,97163,2002,1
7,ES11,F,2002-01-01,Y45-49,88288,2002,1
8,ES11,F,2002-01-01,Y5-9,49384,2002,1
9,ES11,F,2002-01-01,Y50-54,85117,2002,1
10,ES11,F,2002-01-01,Y55-59,84754,2002,1
11,ES11,F,2002-01-01,Y60-64,71272,2002,1
12,ES11,F,2002-01-01,Y65-69,91916,2002,1
13,ES11,F,2002-01-01,Y70-74,80589,2002,1
14,ES11,F,2002-01-01,Y75-79,67418,2002,1
15,ES11,F,2002-01-01,Y80-84,49264,2002,1
16,ES11,F,2002-01-01,Y85-89,30199,2002,1
17,ES11,F,2002-01-01,Y_GE90,15426,2002,1
182-07-01,Y5-9,48696,2002,27
28,ES11,F,2002-07-01,Y50-54,85784,2002,27
29,ES11,F,2002-07-01,Y55-59,85469,2002,27
30,ES11,F,2002-07-01,Y60-64,71086,2002,27
31,ES11,F,2002-07-01,Y65-69,90296,2002,27
32,ES11,F,2002-07-01,Y70-74,81950,2002,27
33,ES11,F,2002-07-01,Y75-79,67565,2002,27
34,ES11,F,2002-07-01,Y80-84,50327,2002,27
35,ES11,F,2002-07-01,Y85-89,30407,2002,27
36,ES11,F,2002-07-01,Y_GE90,15819,2002,27
37,ES11,F,2002-07-01,Y_LT5,46458,2002,27
38,ES11,F,2003-01-01,Y10-14,58296,2003,1
39,ES11,F,2003-01-01,Y15-19,72482,2003,1
40,ES11,F,2003-01-01,Y20-24,97751,2003,1
41,ES11,F,2003-01-01,Y25-29,107938,2003,1
42,ES11,F,2003-01-01,Y30-34,103053,2003,1
43,ES11,F,2003-01-01,Y35-39,100229,2003,1
44,ES11,F,2003-01-01,Y40-44,97907,2003,1
45,ES11,F,2003-01-01,Y45-49,90103,2003,1
46,ES11,F,2003-01-01,Y5-9,48081,2003,1
47,ES11,F,2003-01-01,Y50-54,86469,2003,1
48,ES11,F,2003-01-01,Y55-59,86240,2003,1
49,ES11,F,2003-01-01,Y60-64,70944,2003,1
50,ES11,F,2003-01-01,Y65-69,88808,2003,1
51,ES11,F,2003-01-01,Y70-74,83395,2003,1
52,ES11,F,2003-01-01,Y75-79,67846,2003,1
53,ES11,F,2003-01-01,Y80-84,51554,2003,1
54,ES11,F,2003-01-01,Y85-89,30835,2003,1
55,ES11,F,2003-01-01,Y_GE90,16327,2003,1
56,ES11,F,2003-01-01,Y_LT5,46995,2003,1
57,ES11,F,2003-07-01,Y10-14,57544,2003,27
58,ES11,F,2003-07-01,Y15-19,70649,2003,27
59,ES11,F,2003-07-01,Y20-24,95302,2003,27
60,ES11,F,2003-07-01,Y25-29,108738,2003,27
61,ES11,F,2003-07-01,Y30-34,103330,2003,27
62,ES11,F,2003-07-01,Y35-39,100997,2003,27
63,ES11,F,2003-07-01,Y40-44,98210,2003,27
64,ES11,F,2003-07-01,Y45-49,91191,2003,27
65,ES11,F,2003-07-01,Y5-9,47581,2003,27
66,ES11,F,2003-07-01,Y50-54,86186,2003,27
67,ES11,F,2003-07-01,Y55-59,86850,2003,27
68,ES11,F,2003-07-01,Y60-64,73032,2003,27
69,ES11,F,2003-07-01,Y65-69,85877,2003,27
70,ES11,F,2003-07-01,Y70-74,84246,2003,27
71,ES11,F,2003-07-01,Y75-79,68574,2003,27
72,ES11,F,2003-07-01,Y80-84,52267,2003,27
73,ES11,F,2003-07-01,Y85-89,31193,2003,27
74,ES11,F,2003-07-01,Y_GE90,16597,2003,27
75,ES11,F,2003-07-01,Y_LT5,47506,2003,27
76,ES11,F,2004-01-01,Y10-14,56853,2004,1
77,ES11,F,2004-01-01,Y15-19,68886,2004,1
78,ES11,F,2004-01-01,Y20-24,92776,2004,1
79,ES11,F,2004-01-01,Y25-29,109521,2004,1
80,ES11,F,2004-01-01,Y30-34,103639,2004,1
81,ES11,F,2004-01-01,Y35-39,101888,2004,1
82,ES11,F,2004-01-01,Y40-44,98582,2004,1
83,ES11,F,2004-01-01,Y45-49,92348,2004,1
84,ES11,F,2004-01-01,Y5-9,47159,2004,1
85,ES11,F,2004-01-01,Y50-54,85963,2004,1
86,ES11,F,2004-01-01,Y55-59,87500,2004,1
87,ES11,F,2004-01-01,Y60-64,75179,2004,1
88,ES11,F,2004-01-01,Y65-69,83081,2004,1
89,ES11,F,2004-01-01,Y70-74,85225,2004,1
90,ES11,F,2004-01-01,Y75-79,69404,2004,1
91,ES11,F,2004-01-01,Y80-84,53047,2004,1
92,ES11,F,2004-01-01,Y85-89,31674,2004,1
93,ES11,F,2004-01-01,Y_GE90,16804,2004,1
94,ES11,F,2004-01-01,Y_LT5,48104,2004,1
95,ES11,F,2004-07-01,Y10-14,55818,2004,27
96,ES11,F,2004-07-01,Y15-19,67456,2004,27
97,ES11,F,2004-07-01,Y20-24,90376,2004,27
98,ES11,F,2004-07-01,Y25-29,109438,2004,27
99,ES11,F,2004-07-01,Y30-34,104150,2004,27
100,ES11,F,2004-07-01,Y35-39,102445,2004,27
101,ES11,F,2004-07-01,Y40-44,98996,2004,27
102,ES11,F,2004-07-01,Y45-49,93424,2004,27
103,ES11,F,2004-07-01,Y5-9,47124,2004,27
104,ES11,F,2004-07-01,Y50-54,85962,2004,27
105,ES11,F,2004-07-01,Y55-59,87968,2004,27
106,ES11,F,2004-07-01,Y60-64,77687,2004,27
107,ES11,F,2004-07-01,Y65-69,79886,2004,27
108,ES11,F,2004-07-01,Y70-74,86147,2004,27
109,ES11,F,2004-07-01,Y75-79,70101,2004,27
110,ES11,F,2004-07-01,Y80-84,53877,2004,27
111,ES11,F,2004-07-01,Y85-89,31934,2004,27
112,ES11,F,2004-07-01,Y_GE90,17196,2004,27
113,ES11,F,2004-07-01,Y_LT5,48506,2004,27
114,ES11,F,2005-01-01,Y10-14,54854,2005,1
115,ES11,F,2005-01-01,Y15-19,66113,2005,1
116,ES11,F,2005-01-01,Y20-24,88155,2005,1
117,ES11,F,2005-01-01,Y25-29,109636,2005,1
118,ES11,F,2005-01-01,Y30-34,104776,2005,1
119,ES11,F,2005-01-01,Y35-39,103241,2005,1
120,ES11,F,2005-01-01,Y40-44,99509,2005,1
121,ES11,F,2005-01-01,Y45-49,94647,2005,1
122,ES11,F,2005-01-01,Y5-9,47134,2005,1
123,ES11,F,2005-01-01,Y50-54,86008,2005,1
124,ES11,F,2005-01-01,Y55-59,88468,2005,1
125,ES11,F,2005-01-01,Y60-64,80215,2005,1
126,ES11,F,2005-01-01,Y65-69,76721,2005,1
127,ES11,F,2005-01-01,Y70-74,87139,2005,1
