"","week","year","tmra"
"1",1,2010,0.0144997186447628
"2",2,2010,0.0126032388256653
"3",3,2010,0.00982394804816415
"4",4,2010,0.00664370708361658
"5",5,2010,0.0039228781684232
"6",6,2010,0.000846532956866774
"7",7,2010,-0.00163071156901161
"8",8,2010,-0.00421807409919137
"9",9,2010,-0.00728370913260189
"10",10,2010,-0.00972708842773316
"11",11,2010,-0.0106677857076545
"12",12,2010,-0.0117563930505308
"13",13,2010,-0.0134479078124595
"14",14,2010,-0.0144180310329623
"15",15,2010,-0.0150369056375747
"16",16,2010,-0.0157750261371545
"17",17,2010,-0.016282157762909
"18",18,2010,-0.0174601535213044
"19",19,2010,-0.0185702257635816
"20",20,2010,-0.0185600797967278
"21",21,2010,-0.0187165197021096
"22",22,2010,-0.0185496557826235
"23",23,2010,-0.0199453837748066
"24",24,2010,-0.0213133369875405
"25",25,2010,-0.0220419554158621
"26",26,2010,-0.0219244504394602
"27",27,2010,-0.0215612409070669
"28",28,2010,-0.0215340426884433
"29",29,2010,-0.0221773307281539
"30",30,2010,-0.0232244004453092
"31",31,2010,-0.0245360673434166
"32",32,2010,-0.0252693419063512
"33",33,2010,-0.0261981861570165
"34",34,2010,-0.0262239349437804
"35",35,2010,-0.0269547084903369
"36",36,2010,-0.0276393598728865
"37",37,2010,-0.0284069294084801
"38",38,2010,-0.0290486471977727
"39",39,2010,-0.0294576573435783
"40",40,2010,-0.0295332474713015
"41",41,2010,-0.0303041585669774
"42",42,2010,-0.0304198058547507
"43",43,2010,-0.0301455224569675
"44",44,2010,-0.0303280879149965
"45",45,2010,-0.0309405249119631
"46",46,2010,-0.031640102782299
"47",47,2010,-0.0318993297625598
"48",48,2010,-0.0322067476339558
"49",49,2010,-0.0325349244343594
"50",50,2010,-0.0338759103781132
"51",51,2010,-0.0351436569093102
"52",52,2010,-0.0355673849321278
"53",1,2011,-0.00493962519902044
"54",2,2011,-0.00731552508126627
"55",3,2011,-0.0101629670459561
"56",4,2011,-0.011880877597187
"57",5,2011,-0.0134853309391924
"58",6,2011,-0.0148522024530453
"59",7,2011,-0.0169031676606357
"60",8,2011,-0.0192959409237216
"61",9,2011,-0.0218264200372635
"62",10,2011,-0.0234072140772244
"63",11,2011,-0.0243831534590779
"64",12,2011,-0.0257903768392637
"65",13,2011,-0.0265635727639672
"66",14,2011,-0.0273059109603967
"67",15,2011,-0.028976356205359
"68",16,2011,-0.030436608957969
"69",17,2011,-0.0313094749837518
"70",18,2011,-0.0322384457343628
"71",19,2011,-0.0331929808313845
"72",20,2011,-0.034358675605774
"73",21,2011,-0.0344250989053619
"74",22,2011,-0.0352906028424983
"75",23,2011,-0.0363058610773062
"76",24,2011,-0.0369287520768973
"77",25,2011,-0.0371986958766179
"78",26,2011,-0.0368782894086012
"79",27,2011,-0.0379199191606212
"80",28,2011,-0.0387580544051639
"81",29,2011,-0.0400939488046445
"82",30,2011,-0.0409953738596771
"83",31,2011,-0.0414629542824478
"84",32,2011,-0.0422358405165008
"85",33,2011,-0.0420014536448652
"86",34,2011,-0.0419073826991142
"87",35,2011,-0.0422857263913001
"88",36,2011,-0.0425417396032067
"89",37,2011,-0.0423900957465147
"90",38,2011,-0.0433855807380463
"91",39,2011,-0.043603248081349
"92",40,2011,-0.0438906705622403
"93",41,2011,-0.0436884842378006
"94",42,2011,-0.0437183540089575
"95",43,2011,-0.0436978587807119
"96",44,2011,-0.0436330973483981
"97",45,2011,-0.0438673463843087
"98",46,2011,-0.0445469972731028
"99",47,2011,-0.0454292368164602
"100",48,2011,-0.0460945870402284
"101",49,2011,-0.0465870016918867
"102",50,2011,-0.0473071987748939
"103",51,2011,-0.0473868537948377
"104",52,2011,-0.0474294492253034
"105",1,2012,-0.00572430718420151
"106",2,2012,-0.00716503189517498
"107",3,2012,-0.00834429380450615
"108",4,2012,-0.00954080644980018
"109",5,2012,-0.00967771035022303
"110",6,2012,-0.00743500092808174
"111",7,2012,-0.00235478275767703
"112",8,2012,0.00303230083503353
"113",9,2012,0.00792450203196897
"114",10,2012,0.00998851111578794
"115",11,2012,0.0117084477453492
"116",12,2012,0.0118305892855363
"117",13,2012,0.0120670108340667
"118",14,2012,0.0117782116855369
"119",15,2012,0.0115066471721733
"120",16,2012,0.0119117064688252
"121",17,2012,0.0121877352053509
"122",18,2012,0.0124321945290399
"123",19,2012,0.0130475597045318
"124",20,2012,0.0127363896797533
"125",21,2012,0.0121827720395379
"126",22,2012,0.0119565265140921
"127",23,2012,0.0112345062984696
"128",24,2012,0.00989035167506961
"129",25,2012,0.00853213271600677
"130",26,2012,0.00851020983701459
"131",27,2012,0.00642550540198406
"132",28,2012,0.00490053246151596
"133",29,2012,0.00358141458512201
"134",30,2012,0.0029283984797292
"135",31,2012,0.00200124455423254
"136",32,2012,0.00168606867691914
"137",33,2012,0.00152859026173418
"138",34,2012,0.00223202081407174
"139",35,2012,0.00172037582298286
"140",36,2012,0.00155711095028862
"141",37,2012,0.00150992586638952
"142",38,2012,0.00143786098984349
"143",39,2012,1.59251511302381e-05
"144",40,2012,-0.000590096057757639
"145",41,2012,-0.000873255891196481
"146",42,2012,-0.0015670163239868
"147",43,2012,-0.00278507414418263
"148",44,2012,-0.00267626340527934
"149",45,2012,-0.00304485519883465
"150",46,2012,-0.00341267547066452
"151",47,2012,-0.00439006795526314
"152",48,2012,-0.00577932936220492
"153",49,2012,-0.0060711233596998
"154",50,2012,-0.00625630665833419
"155",51,2012,-0.00767235912857617
"156",52,2012,-0.00983869251001744
"157",1,2013,-0.00739314460725326
"158",2,2013,-0.0100874430820804
"159",3,2013,-0.0126350477402862
"160",4,2013,-0.0151345194810048
"161",5,2013,-0.0174147502042161
"162",6,2013,-0.0197598208983702
"163",7,2013,-0.0214872360422256
"164",8,2013,-0.0229147314321696
"165",9,2013,-0.0235633239981635
"166",10,2013,-0.0228841829078764
"167",11,2013,-0.0238291848927105
"168",12,2013,-0.0234088000789861
"169",13,2013,-0.0238886745439533
"170",14,2013,-0.0246239487695653
"171",15,2013,-0.0249809739299402
"172",16,2013,-0.0257999444494079
"173",17,2013,-0.0267814728095469
"174",18,2013,-0.0272918011211
"175",19,2013,-0.0276356970349238
"176",20,2013,-0.0281971227336714
"177",21,2013,-0.0289734885316147
"178",22,2013,-0.0290982442641993
"179",23,2013,-0.0287611245974892
"180",24,2013,-0.0281550566067388
"181",25,2013,-0.0291817661596543
"182",26,2013,-0.0298358779871322
"183",27,2013,-0.0297749683210332
"184",28,2013,-0.0282718384862922
"185",29,2013,-0.0283238575219932
"186",30,2013,-0.0285535130542079
"187",31,2013,-0.0291091532792087
"188",32,2013,-0.0299315770604415
"189",33,2013,-0.0302882789913744
"190",34,2013,-0.0308046584721614
"191",35,2013,-0.0315480225995446
"192",36,2013,-0.0323418637469016
"193",37,2013,-0.0328741713852317
"194",38,2013,-0.0332983918960859
"195",39,2013,-0.0332343262842223
"196",40,2013,-0.0331559789380033
"197",41,2013,-0.0342884013870031
"198",42,2013,-0.0345523309249641
"199",43,2013,-0.0349541205376372
"200",44,2013,-0.0362024825559894
"201",45,2013,-0.0365299801656923
"202",46,2013,-0.0374556129135876
"203",47,2013,-0.0379856988884756
"204",48,2013,-0.0374611687962881
"205",49,2013,-0.0367645698535729
"206",50,2013,-0.0367212127450082
"207",51,2013,-0.0363839023625512
"208",52,2013,-0.0364993138295376
"209",1,2014,-0.00451128384770545
"210",2,2014,-0.00576221634129269
"211",3,2014,-0.00694296454003051
"212",4,2014,-0.00756878012670058
"213",5,2014,-0.00870437668659571
"214",6,2014,-0.00928347290379992
"215",7,2014,-0.0103431652262452
"216",8,2014,-0.0120520568746049
"217",9,2014,-0.0135632098779958
"218",10,2014,-0.0147326521836781
"219",11,2014,-0.0159940781392948
"220",12,2014,-0.01605868107554
"221",13,2014,-0.0167108502212774
"222",14,2014,-0.0169307924941458
"223",15,2014,-0.0170948117615759
"224",16,2014,-0.0177787896598235
"225",17,2014,-0.0188066342227477
"226",18,2014,-0.0188036305560736
"227",19,2014,-0.0188243174739635
"228",20,2014,-0.0193080386663044
"229",21,2014,-0.0200972627965415
"230",22,2014,-0.0206727474544964
"231",23,2014,-0.0204442334524144
"232",24,2014,-0.0196078206073761
"233",25,2014,-0.0190082714801226
"234",26,2014,-0.0196399049625725
"235",27,2014,-0.0205905473313257
"236",28,2014,-0.0219777015616036
"237",29,2014,-0.02201191611267
"238",30,2014,-0.0218395207464155
"239",31,2014,-0.0223104617613481
"240",32,2014,-0.022710521702172
"241",33,2014,-0.0231328966830624
"242",34,2014,-0.0236304516359579
"243",35,2014,-0.0230428148589793
"244",36,2014,-0.022109517414775
"245",37,2014,-0.0217435064024121
"246",38,2014,-0.0219923614571583
"247",39,2014,-0.0226177636191905
"248",40,2014,-0.0225785369425592
"249",41,2014,-0.0224128438441965
"250",42,2014,-0.0220506528546025
"251",43,2014,-0.0217672567559528
"252",44,2014,-0.0218941662591196
"253",45,2014,-0.0223749748370915
"254",46,2014,-0.0222022940673585
"255",47,2014,-0.0221796231340617
"256",48,2014,-0.0225489087884497
"257",49,2014,-0.0233972646855291
"258",50,2014,-0.0237810203162156
"259",51,2014,-0.0241574223485968
"260",52,2014,-0.0245728523296232
"261",1,2015,-0.00320010953438716
"262",2,2015,-0.000820665665305112
"263",3,2015,0.00200446034704557
"264",4,2015,0.00505224694614183
"265",5,2015,0.00914070634117801
"266",6,2015,0.0127289847456884
"267",7,2015,0.0165492261007784
"268",8,2015,0.0205801989740536
"269",9,2015,0.0237744340887284
